,precision,recall,f1-score,support
0,0.9968198267353876,0.999890001099989,0.9983525535420099,9091.0
1,0.0,0.0,0.0,29.0
accuracy,0.9967105263157895,0.9967105263157895,0.9967105263157895,0.9967105263157895
macro avg,0.4984099133676938,0.4999450005499945,0.49917627677100496,9120.0
weighted avg,0.9936501145670404,0.9967105263157895,0.9951779675713172,9120.0
