Feature,Coefficient,Std_Error,t_value,P_value,CI_Lower,CI_Upper,Significant,Significance
intercept,-7.801093370658008,1.5730153181002153,-4.959324477577025,7.073872854469713e-07,-10.884146741264246,-4.7180400000517695,True,***
ndbi_mean,-1.245939334242136,2.418261398850664,-0.5152211149854595,0.6063985156830534,-5.985644581192888,3.493765912708616,False,
ntl_mean,7.1467476740788545,1.2292027959897383,5.814132295659468,6.0949199338240905e-09,4.737554464243032,9.555940883914676,True,***
ghi_mean,0.5234060901393204,1.1043739773995247,0.4739391735504195,0.6355432833765505,-1.6411271310269995,2.6879393113056405,False,
road_density_norm,1.8217423818005656,2.0167820148314486,0.9032916638503525,0.36637111963552205,-2.131077731937199,5.77456249553833,False,
poi_norm,4.189558148503057,1.5369265972604913,2.7259324914870837,0.006412011131407085,1.1772373709907975,7.201878926015317,True,**
